LOC.,TAG,OPERATOR COMPLAIN,PROBLEM,ACTION TAKEN,DATE
,04-XV-012,,Defected air regulator,Replace the defective air regulator by a new one and check valve stroke and feedback found ok,10/9/2015
,07-H-01,,Check pilots,"Check spark for all pilots found ok except 07BSL003 repair it. 
Clean all F.G. Nozzles.",10/9/2015
,13-HV-018,,Install,Waiting static dep. to install the valve,10/9/2015
,05-PSV-028,,Install tubes,The tubes was installed,10/9/2015
,04-H-01,,Check pilots,"Check and repair all pilots were done
Dismantle all F.G. Nozzels and clean them using air then reinstall them and replacing all defected gaskets.",10/9/2015
,04-H-02,,Check pilots,"Check and repair all pilots were done
Dismantle all F.G. Nozzels and clean them using air then reinstall them and replacing all defected gaskets.",10/9/2015
,04-H-03,,Check pilots,"Check and repair all pilots were done
Dismantle all F.G. Nozzels and clean them using air then reinstall them and replacing all defected gaskets.",10/9/2015
,04-H-04,,Check pilots,"Check and repair all pilots were done
Dismantle all F.G. Nozzels and clean them using air then reinstall them and replacing all defected gaskets.",10/9/2015
,07-FV-008,,Check valve stroke,Check valve stroke found ok.,10/9/2015
,16-FV-003,,Replace air regulator,Replace the defective air regulator by a new one.,10/9/2015
,04-AV-502,,Check Valve passing,###############################################################################################################################################################################################################################################################,10/9/2015
,05-PSV-019,,reinstall,"Reconnect the feed back tube , tighten on all tube.",10/9/2015
,39-FT-005,,Check,"check Tx configuration found ok , check reading found ok.",10/9/2015
,13-PT-05,,I/O BAD,"Reset power, zero and span check ",10/9/2015
,14-FT-029,,Check,Zero/Span check was done found ok and no problem,10/9/2015
,15-FT-035,,Check,Zero/Span check was done found ok and no problem,10/9/2015
,13-FE-052,,Install,the flow element was put in thire place with the new gasket and waiting static dept. to install bolts and then connect tubes and install thermal insulation,10/9/2015
,51-MOVs-OF CR02,,Comm. Fail,Stopped by operation,10/9/2015
,39-FT-006,,Check,"check Tx configuration found ok , check reading found ok.",10/9/2015
,14-FT-031,,Check,Zero/Span check was done found ok and no problem,10/9/2015
,15-FT-036,,Check,Zero/Span check was done found ok and no problem,10/9/2015
,51-MOV-281,,Comm. Fail,"Complete loop check found defective communication card of MOV-284, jumper it and check loop found ok, waiting spare",10/9/2015
,51-MOV-284,,Comm. Fail,"Complete loop check found defective communication card of MOV-284, jumper it and check loop found ok, waiting spare",10/9/2015
,51-MOV-283,,Comm. Fail,"Complete loop check found defective communication card of MOV-284, jumper it and check loop found ok, waiting spare",10/9/2015
,53-PK-01,,Start up,"Clear blockage from the flow nozzles box and function check found ok,assist operation to start up",10/9/2015
,04-XV-557,,check ,"valve stroking was done found ok ,check indication with DCS found ok , install new nut, ferrol , back ferrol for the air supply tube ",11/9/2015
,04-XV-556,,check ,"valve stroking was done found ok ,check indication with DCS found ok ",11/9/2015
,04-VX-540,,check ,"valve stroking was done found ok ,check indication with DCS found ok ",11/9/2015
,04-XV546,,check ,"increase regulaator o/p , adjust open / close f.b ,check indication with DCS found ok ",11/9/2015
,"04-XV-530
",,check ,"valve stroking was done found ok , need indication plate ",11/9/2015
,04-VX-559,,check ,valve stroking was done found ok ,11/9/2015
,04-FT-540A,,check ,"zero , mA check was done found pk  ",11/9/2015
,04-FT-536,,check ,"zero calibration was done , span check wer",11/9/2015
,04-FT-506B,,check ,"zero check was done , no problem found",11/9/2015
,04-FT-541,,check ,"zero check was done , no problem found",11/9/2015
,04-FT-506A,,check ,"zero check was done , no problem found",11/9/2015
,05-V-03A,,check ,check dryer valves as per operation list ,11/9/2015
,05-V-03B,,check ,check dryer valves as per operation list ,11/9/2015
,14-PT-040,,check ,"install the transmitter back in sevice , zero and span calibration was done ",11/9/2015
,14-PV-019,,check ,check valve stroke found max opening is about 80%,11/9/2015
,14-PV-025,,check ,complete calibration was carried out ,11/9/2015
,13-HV-002,,check ,"dismantle the valve and transfeer to EMC W/S , install new plug and seat , passing test was done found ok , complete calibration the reinstall back in service ",11/9/2015
,04-TE-556,,check ,function check was done for the element up to 100C . Only one channel is working in the element,11/9/2015
,04-XV-562B,,check ,transfer to EMC W/S to clear valve stuck,11/9/2015
,13-PV-014,,check ,replace the broken proximity switch ( valve is at EMC W/S ),11/9/2015
,04-XV-012,,check ,"check found the reset of the solenoid was activated 
check solenoid vent then check valve action ",11/9/2015
,04-P-54A,,check ,"install new actuator and adjust pump stroke 
replace the defected trans. With the old one .",11/9/2015
,05-PV-015,,check ,dismantle the valve to dismantle the internal parts and replace the defected stem waiting to assemble the valve then reinstall,11/9/2015
,05-FT-006,,check ,zero calibration was done ,11/9/2015
,05-FT-031,,check ,zero calibration was done ,11/9/2015
,05-FT-014,,check ,zero calibration was done ,11/9/2015
,05-FT-050,,check ,"zero check was done , no problem found",11/9/2015
,05-FT-051,,check ,"zero check was done , no problem found",11/9/2015
,04-FT-030,,check ,"zero check was done , no problem found",11/9/2015
,04-FT-003B,,check ,"zero check was done , no problem found",11/9/2015
,05-FT-052,,check ,"zero check was done , no problem found",11/9/2015
,12-FT-011,,check ,zero calibration was done ,11/9/2015
,12-FT-050,,check ,zero calibration was done ,11/9/2015
,06-FT-04A,,check ,"zero check was done , no problem found",11/9/2015
A2A,02-FT-013,,check ,zero calibration was done ,11/9/2015
,04-FT-003C,,check ,"zero check was done , no problem found",11/9/2015
,04-FT-016,,check ,zero calibration was done ,11/9/2015
,04-FT-017,,check ,zero calibration was done ,11/9/2015
,04-FT-005,,check ,zero calibration was done ,11/9/2015
A2A,03-FT-005D,,check ,zero calibration was done ,11/9/2015
A2A,03-FT-005E,,check ,zero calibration was done ,11/9/2015
A2A,03-FT-005H,,check ,zero calibration was done ,11/9/2015
A2A,03-FT-008,,check ,zero calibration was done ,11/9/2015
,"14-PT-019,",,check ,install the transmitter back in sevice ,11/9/2015
,04-PV-005C,,check ,the valve was dismantled and transfer to EPROM W/S,11/9/2015
,14-PV-001,,check ,"check valve action found posiotioner cam shaft is stuck 
install used positioner of 45-LV-08
complete calibration and stroke check were carried out ",11/9/2015
,14-FV-001,,check ,check stroke was done and no problem with DCS,11/9/2015
,14-FV-015,,check ,function check fonund responding but max opening is about 75%,11/9/2015
,51-LT-019,,PMR,PMR was carried out. Clean the displacer,11/9/2015
,51-LT-020,,OMR,PMR was carried out.Dismentle the enraf & clean it's chamber & the displacer.,11/9/2015
,51-MOVs-OF CR02,,Check loop,###############################################################################################################################################################################################################################################################,11/9/2015
,05-XV-065,,check ,"XV-065 Needs indication cover,",11/9/2015
,05-XV-067,,check ,XV-067 Needs vent filter ,11/9/2015
,05-XV-066,,check ,"XV-066 No problem found ,",11/9/2015
,05-XV-073,,check ,XV-073 Needs vent filter,11/9/2015
,05-XV-072,,check ,XV-072 No problem found,11/9/2015
,05-XV-075,,check ,XV-075/076 Noise during open & close,11/9/2015
,05-XV-068,,check ,XV-068 Needs indication cover,11/9/2015
,05-XV-071,,check ,XV-071 065 Needs indication cover & fabricate new air supply tube and adjust feed back indication. ,11/9/2015
,05-XV-081,,check ,XV-081 Noise during open and close also needs new feed back shaft O-RING,11/9/2015
,05-XV-083,,check ,XV-083 Noise during open & close also needs new feedback shaft o-ring,11/9/2015
,05-XV-049,,check ,XV-049 Check valve stoke found ok,11/9/2015
,05-XV-062,,check ,XV-062 Check valve stoke found ok,11/9/2015
,05-XV-012,,check ,XV-012 Check valve stoke found ok,11/9/2015
,05-XV-023,,check ,XV-023 Check valve stoke found ok,11/9/2015
,05-XV-009,,check ,XV-009 Tighten the loosen feedback shaft screw then adjust feedback ndication,11/9/2015
,05-XV-010,,check ,XV-010 Noise during open & close & increase the regulator supply air from 2.5 BAR to 4 BAR,11/9/2015
,05-XV-076,,check ,XV-076 Noise during open & close,11/9/2015
,14-FT-026,,Check Calibration,"Flushing both tap points; Zero & span calibration.
Note: The high side isolation valve of manifold is passing",12/9/2015
,14-FT-027,,Check Calibration,"Flushing both tap points; Zero & span calibration.
Note: The high side isolation valve of manifold is passing",12/9/2015
,07-FT-003,,Check Calibration,Try to flush both tap points but no service found; Zero & span check found.,12/9/2015
,07-FT-019,,Check Calibration,Flushing both tap points; Zero calibration & span check were done. .,12/9/2015
,07-FT-016,,Check Calibration,Try to flush both tap points but no service found; Zero & span check found.,12/9/2015
,04-K-54,,Dismantle,"Dismantle 04PSL590 & 04PSH591; Disconnect 1/2"" tube of 04PSL569 from the blower.",12/9/2015
,13-HZ-01,,Check ignition,Check the igniter found not working; Dismantle the rod & clean it then check spark found ok.,12/9/2015
,04-PV-05C,,Check passing,"Passing test was done found it passing; Transfer it to Unit 04 to be installed by mech. Dep,",12/9/2015
,13-PV-02,,check stroke,Decrease the length of feedback link and recalibrate positioner then complete stroke were done.,12/9/2015
,13-PV-08,,check stroke,Recalibrate positioner then check stroke found ok,12/9/2015
,13-PV-075,,bad stroke,"Recalibrate positioner then check stroke found ok, valve was cleaned.",12/9/2015
,04-XV-562B,,INSTALL,fabricate a new shaft to link the feedback indication with the actuator.,12/9/2015
A2A,02-XV-010,,check,check stroke open/close found ok.,12/9/2015
,04-P-54B,,install new actuator,install a new actuator after adjusting the pump on 0% stroke. Calibrate the 4mA on the card and waiting the pump to be ready to start make fine calibration in service.,12/9/2015
,13-BSL-007,,check earth,"check found water inside the JB for BSL-010, remove water then drying the JB. Check wiring found ok.",12/9/2015
,04-FV-516,,check,"check found no signal coming on the solenoid, inform the operator but he refused to override the solenoid.",12/9/2015
,16-LDT-006,,check,check found the transmitter is isolated and the chamber is filled while the vessel is drained.,12/9/2015
,07-FV-022,,check,"stroke test was carried out found ok, zero of 07FV022 was fixed and now is ok.",12/9/2015
,07-FV-027,,check,"stroke test was carried out found ok, zero of 07FV022 was fixed and now is ok.",12/9/2015
,07-LDT-002,,CHECK,Needs TX.,12/9/2015
,07-LDT-011,,CHECK,Function check was done found ok.,12/9/2015
,05-PV-015,,REASSEMBLE,"Reassemble the valve then reinstall it with an old bonnet gasket, calibrate it then check valve stroke found ok.",12/9/2015
,05-PV-016,,NOT FOUND,"Check found defective regulator, replace it by an ew one then calibrate the positioner and valve stroke was done found ok.",12/9/2015
,51-FT-022,,WRONG READING,"Check found impulse tubes were blocked, waioting steam.",12/9/2015
,51-FT-033,,WRONG READING,"Drain, zero check found ok.",12/9/2015
,51-FT-045,,No problem,"Drain , flushing, zero check found ok then check reading found actual.",12/9/2015
,51-FT-044,,WRONG READING,"Reset, zero check found ok.",12/9/2015
,51-FT-060,,WRONG READING,"Drain , flushing, zero check found ok then check reading found ok.",12/9/2015
,51-FT-051,,WRONG READING,"Reset, zero check found ok.",12/9/2015
,13-PV-080,,Check stroke,Complete calibration was done then check stroke open/close found ok,12/9/2015
,13-PV-095A,,Check stroke,Check Valve stroke found ok,12/9/2015
,13-PV-095B,,Check stroke,Complete calibration was done then check stroke open/close found max opening about 90%,12/9/2015
,13-FV-011,,Check stroke,Adjust open limit switch,12/9/2015
,13-HV-001,,Check stroke,Increase the stem length then check stroke open/close found ok.,12/9/2015
,04-PK-51,,Survey,"Visual survey was done for all GAMMA Ray sources and Tx.
Assist vendor to calibrate 04LI507/508.",12/9/2015
,13-HZ-02,,Install instruments,Function check was done for ignitor at EMC W/S found ok.Check spark found it existed and excellent. Re-install back the ignitor and 2 flame scanners in service.,12/9/2015
,04-LT-509,,install new TX,Install new TX instead of the old one. Install new gland and shroud. Fix it's head with tie rape as it's u-bolt is missing & it needs tag no:.,12/9/2015
,13-BSL-010,,check earth,"check found water inside the JB for BSL-010, remove water then drying the JB. Check wiring found ok.",12/9/2015
A2A,02-FT-004A,,Check reading,Check found all TX's are isolated. Return them all back in service then ckeck their reading found matched & ok.,12/9/2015
A2A,02-FT-004C,,Check reading,Check found all TX's are isolated. Return them all back in service then ckeck their reading found matched & ok.,12/9/2015
A2A,02-FT-004B,,Check reading,Check found all TX's are isolated. Return them all back in service then ckeck their reading found matched & ok.,12/9/2015
A2A,02-PT-005,,Check,Reset then check it's reading found ok.,12/9/2015
,04-PT-028,,Check,Zero check found ok & no problem found.,12/9/2015
,04-PDT-507,,Check,"Drain condensate, zero & span check were done found ok.",12/9/2015
,12-FT-040,,CHECK,"Check found defectivev cell, waiting spare.",12/9/2015
A2A,02-FV-002,,BAD STROKE,"Check found maximum open is 80 % , calibrate positioner then check stoke from DCS found ok but with maximum opening 95 %.",12/9/2015
,04-XV-565,,FORCE OPEN,###############################################################################################################################################################################################################################################################,12/9/2015
A2A,02-FV-003,,BAD STROKE,"Check found maximum open is 80 % , calibrate positioner then check stoke from DCS found ok but with maximum opening 95 %.",12/9/2015
,04-V-02,,Return to service,Return its instruments in service.,12/9/2015
,04-V-03,,Return to service,Return its instruments in service.,12/9/2015
,04-T-01,,Return to service,Return its instruments in service.,12/9/2015
,51-FT-043,,Check reading,"Reset, zero calibration was done. Check TX reading found ok.",12/9/2015
,51-FT-049,,Wrong reading,"Reset, zero check found ok",12/9/2015
,51-FT-075,,Wrong reading,"Check found Tx is fully filled by oil, clear oil, zero check found ok; Remove the defected display check reading found actual reading.",12/9/2015
,51-FT-011,,Wrong reading,"Reset, flushing both tap points to clear blockage, zero calibration after refill sealpot with glycerine & water; Check reading found ok. (0m3/hr).",12/9/2015
,51-PT-068,,Check reading,"Reset, zero calibration was done. Check TX reading found ok.",12/9/2015
,51-FT-047,,Check reading,"Reset, zero calibration was done. Check TX reading found ok.",12/9/2015
,53-LT-003,,Wrong reading,"Reset,flushing, full calibration were done then check reading found ok.",12/9/2015
,51-MOV-242,,Check Remote action,"Check open and close action using Paktester found ok, check local open and close action found ok; The valves didn't responde from DCS, inform the system engineer.",12/9/2015
,51-FT-049,,Wrong reading,"Reset, zero check found ok",12/9/2015
,51-FT-075,,Wrong reading,"Check found Tx is fully filled by oil, clear oil, zero check found ok; Remove the defected display check reading found actual reading.",12/9/2015
,51-FT-042,,,cancelled by EPROM shift  engineer,12/9/2015
,51-FT-047,,Check reading,"Reset, zero calibration was done. Check TX reading found ok.",12/9/2015
,04-PV-005C,,install accessories,waiting static dept. to install valve,12/9/2015
A2A,02-FV-010,,check,stopped as the valve out of service and air supply tube for I/P was disconnected,12/9/2015
,04-V-53,,instal  TW and TE,waiting static dept. to install vessel,12/9/2015
,04-XV-562B,,,fabricate a new shaft to link the feedback indication with the actuator.,12/9/2015
,51-MOV-232,,Check Remote action,"Check open and close action using Paktester found ok, check local open and close action found ok; The valves didn't responde from DCS, inform the system engineer.",12/9/2015
,51-MOV-226,,Check Remote action,"Check open and close action using Paktester found ok, check local open and close action found ok; The valves didn't responde from DCS, inform the system engineer.",12/9/2015
,13-FV-011,,Wrong indication,Fix the coupling between the actuator link and positioner link; Adjust the proximity switches with cam then check valve stroke and indication on DCS found ok.,13/09/2015
,14-T-01,,Put in service,"Put the following inst. In service:
14PDT007, 057 / 14LSLL035 / 14LT009 / 14PSL011A,B,C / 14PSH012 / 14LG210A,B",13/09/2015
,14-T- 51,,Put in service,"Put the following inst. In service:
14PDT007, 057 / 14LSLL035 / 14LT009 / 14PSL011A,B,C / 14PSH012 / 14LG210A,B",13/09/2015
,04-K-54,,Install,"Install the following 
04PSL590 / 04PSH591 
Connect the tube of 04PSL569",13/09/2015
,04-LSL-903,,Check,Function check was done found ok,13/09/2015
A2A,02-UV-005,,Install,Install the valves with new line gaskets,13/09/2015
A2A,03-UV-001,,Install,Install the valves with new line gaskets,13/09/2015
A2A,02-UV-006,,Install,Install the valves with new line gaskets,13/09/2015
A2A,03-UV-002,,Install,Install the valves with new line gaskets,13/09/2015
,04-PV-028,,Install,Install the valves with new line gaskets,13/09/2015
,04-PV-030,,Install,Install the valves with new line gaskets,13/09/2015
,04-PV-032,,Install,Install the valves with new line gaskets,13/09/2015
,04-PV-034,,Install,Install the valves with new line gaskets,13/09/2015
,04-V-01,,Put in service,"Put the following inst. In service:
04LT001 / 04LG201 / 04PT005 / 04LSHH012 / 04PI217",13/09/2015
,04-V-02,,Put in service,"Put the following inst. In service:
02FT002A,B,C / 02LSHH013 / 02LT007 / 02PT037 / 02FT008 / 02PT004, 005, 006 / 02LT004, 006",13/09/2015
,15-PT-025,,Put in service,Reconnect the impulse tubes then put the Tx in service.,13/09/2015
,13-HZ-01,,Startup,"Clean the fuel gas nozzle, assist the operation to startup the incenerator, ",13/09/2015
,13-PT-003,,Zero check,Zero check found ok.,13/09/2015
,13-PT-090,,Wrong reading ,Reset power and function check found ok.,13/09/2015
,04-PV-005C,,Install accessories,Install all valve accessories then check valve stroke found ok.,13/09/2015
,13-PT-002,,Zero check,Zero check found ok.,13/09/2015
A2A,02-E-01A,,Dismantle thermowell,"Dismantle the following and transfer them to EMC w/s
02TW201, 202, 204, 205
Note: 02TW202 is broken.",13/09/2015
A2A,02-E-01B,,Dismantle thermowell,"Dismantle the following and transfer them to EMC w/s
02TW201, 202, 204, 205
Note: 02TW202 is broken.",13/09/2015
A2A,02-E-01C,,Dismantle thermowell,"Dismantle the following and transfer them to EMC w/s
02TW201, 202, 204, 205
Note: 02TW202 is broken.",13/09/2015
A2A,02-E-01D,,Dismantle thermowell,"Dismantle the following and transfer them to EMC w/s
02TW201, 202, 204, 205
Note: 02TW202 is broken.",13/09/2015
A2A,02-E-01E,,Dismantle thermowell,"Dismantle the following and transfer them to EMC w/s
02TW201, 202, 204, 205
Note: 02TW202 is broken.",13/09/2015
A2A,02-E-01F,,Dismantle thermowell,"Dismantle the following and transfer them to EMC w/s
02TW201, 202, 204, 205
Note: 02TW202 is broken.",13/09/2015
,04-PK-51,,Assist,"Assist the vendor to calibrate 04LI503, 504, 509",13/09/2015
A2A,02-LSLL-051,,Dismantle,Dismantle the switch and transfer it to EMC w/s.,13/09/2015
,13-K-01C,,Install Inst.,"Install the following:
13FSL142, 143 / 13PY025
Waiting static dep. to install 13PV025",13/09/2015
,04-V-53,,Install TWs,"remove the temp. elements with the mech dept.
finish installing the elbow and reinstall them again install the missing bolts,followup tighten the bolts and connect cable.",13/09/2015
,13-BSL-011,,Wrong reading ,Adjust the focal angle then check reading found ok.,13/09/2015
,04-LI-509,,Install U-bolt,Install the U-bolt of the reciver element,13/09/2015
,04-XV-535,,Install solenoid,Replace the defective solinoid and cefective air tube were done and return the valve back in service,13/09/2015
A2A,02-TW-205,,Install,Install the thermowells with new gaskets.,13/09/2015
,UNIT 16,,Put in service,Return the following inst. Back in service LT-04 & LDT-04,13/09/2015
,UNIT 06,,Put in service,Return the following inst. Back in service LT-04 & FT-03,13/09/2015
,04-V-53,,Install,Remove the temp. elements and reinstall again after the mech. Finish installing the elbow and install the missing bolts. Following up tighten the bolts and connect cables.,13/09/2015
,13-HZ-051,,Remove ignitor,Dismantle the igniter and transfare to EMC W/S complete maintenance was done ,13/09/2015
,13-BSL-010,,Bad reading,Adjust the focus angle then check reading found ok.,13/09/2015
,13-PV-50,,Defective YOKE,###############################################################################################################################################################################################################################################################,13/09/2015
,13-PV-025,,INSTALL,The static dept. was installing the valve but was not completed yet.,13/09/2015
,04-V-03,,Put in service,"Put the following inst. In service:
02FT002A,B,C / 02LSHH013 / 02LT007 / 02PT037 / 02FT008 / 02PT004, 005, 006 / 02LT004, 006",13/09/2015
A2A,02-TW-204,,Install,Install the thermowells with new gaskets.,13/09/2015
,51-MOV-285,,POWER FAIL,Check found no power at MOV and distipution panel. Swich power on again then check found Battery alarm. Replace battery then check found ok.,13/09/2015
,51-MOV-286,,POWER FAIL,Check found no power at MOV and distipution panel. Swich power on again then check found Battery alarm. Replace battery then check found ok.,13/09/2015
,53-LT-002,,Install,Install the TX with two old line gasket.,13/09/2015
,53-PK-01,,Install aignitor,Install the ignitor on the acid flare as operation request.,13/09/2015
,04-TE-548,,INSTALL,"Install the 9 TWs on V-53 as per log book diagram & ensure that all of them are guided in to their rings inside the vessel.
""waiting to complete bolts 16 size 32 & waiing to connect cables""",13/09/2015
,04-TE-549,,INSTALL,"Install the 9 TWs on V-53 as per log book diagram & ensure that all of them are guided in to their rings inside the vessel.
""waiting to complete bolts 16 size 32 & waiing to connect cables""",13/09/2015
,04-TE-550,,INSTALL,"Install the 9 TWs on V-53 as per log book diagram & ensure that all of them are guided in to their rings inside the vessel.
""waiting to complete bolts 16 size 32 & waiing to connect cables""",13/09/2015
,04-TE-551,,INSTALL,"Install the 9 TWs on V-53 as per log book diagram & ensure that all of them are guided in to their rings inside the vessel.
""waiting to complete bolts 16 size 32 & waiing to connect cables""",13/09/2015
,04-TE-552,,INSTALL,"Install the 9 TWs on V-53 as per log book diagram & ensure that all of them are guided in to their rings inside the vessel.
""waiting to complete bolts 16 size 32 & waiing to connect cables""",13/09/2015
,04-TE-553,,INSTALL,"Install the 9 TWs on V-53 as per log book diagram & ensure that all of them are guided in to their rings inside the vessel.
""waiting to complete bolts 16 size 32 & waiing to connect cables""",13/09/2015
,04-TE-554,,INSTALL,"Install the 9 TWs on V-53 as per log book diagram & ensure that all of them are guided in to their rings inside the vessel.
""waiting to complete bolts 16 size 32 & waiing to connect cables""",13/09/2015
,04-TE-555,,INSTALL,"Install the 9 TWs on V-53 as per log book diagram & ensure that all of them are guided in to their rings inside the vessel.
""waiting to complete bolts 16 size 32 & waiing to connect cables""",13/09/2015
,04-TE-556,,INSTALL,"Install the 9 TWs on V-53 as per log book diagram & ensure that all of them are guided in to their rings inside the vessel.
""waiting to complete bolts 16 size 32 & waiing to connect cables""",13/09/2015
,13-PT-002,,Wrong reading,"Flushing, Zero/span check were done found ok and no problem",14/09/2015
,13-PT-003,,Wrong reading,"Flushing, Zero/span check were done found ok and no problem",14/09/2015
,13-PV-050,,Install air tube,Install new air tube between the actuator & positioner then check valve stroke found ok.,14/09/2015
,16-PV-004,,Dismantle,Dismantle the valve and lifted it beside the line as operation request,14/09/2015
,04-TSH-905,,Calibration,"For  905: desnot exist in field.
For 04-TE-924 : to give alarm for 04-TE-905 (setting 150 C)",14/09/2015
A2A,02-TW-201,,Install,Install the thermo wells with new gaskets.,14/09/2015
,04-FV-09,,Install,Install the  valves with new gaskets.,14/09/2015
A2A,02-FV-011,,Install,Install with two new gasket.,14/09/2015
,13-K-01C,,Install,"install 13-PV-025 accessories and checK valve stroke found ok, adjust feed back indicator.
Install 13VE 005,006 
insall 13-TI-304,205.",14/09/2015
,07-H-01,,Pilot alarm,Dismantle the fuel nozzel and elbow and clean it. Then adjust air/fuel ratio.,14/09/2015
,07-LV-07,,Passing test,"repair feedback indication then adjust feedback link and position cam.
Recalibrate the positioner then increase the supply from 2.5 to 4 bar .
Dismtle the valve then passing test was done found ok.",14/09/2015
A2A,02-TW-202,,Install,Install the thermo wells with new gaskets.,14/09/2015
,13-HV-014,,reinstall,Install all accessories of the two valves.,14/09/2015
,13-HV-018,,reinstall,Install all accessories of the two valves.,14/09/2015
,04-PK-051,,Calibration,Assist vendor to calibrate the gamma ray level transmitter,14/09/2015
,04-V-053,,Install TE,Tighten all bolts and loop check was done,14/09/2015
,04-PV-028,,Not response,Force the valve open and close several times to clear stuck and check valve stroke were done found ok,14/09/2015
,16-LV-004,,Install,Install the valve back in service was done and check valve stroke were done found ok,14/09/2015
,13-XV-002,,Air leakage,"Replace the defective air regulator by a new one. The local push bottom for XV-01,02,03 not response",14/09/2015
,13-XV-025,,Air leakage,Close the air vent of the air regulator and check valve stroke were done found ok,14/09/2015
,13-TV-087,,Stuck,Replace the defective air regulator by a new one and complete calibration were done for the I/P converter and the valve positioner and check valve stroke were done found ok,14/09/2015
,13-FV-065,,Air leakage,Check air for leakage was done found no leakage and check valve stroke were done found ok,14/09/2015
,13-FV-066,,Check,Force the valve open and close several times to clear stuck and complete calibration were done for the I/P converter and the valve positioner and check valve stroke were done found ok,14/09/2015
,07-LV-007,,Passing test,Dismantle the valve and passing test were done found ok. Install the valve back in service was done,14/09/2015
,51-MOV-226,,NOT FOUND,###############################################################################################################################################################################################################################################################,14/09/2015
,53-PK-01,,START UP,"assist operation to startup the acid flare by the ignitor.
NOTE: the line between the first isolation valve and second one of the local ignition banel has a crack.",14/09/2015
,04-TSH-904,,Calibration,"For 904: was checked and the range found 90 C , adjust it to 50 C as EPROM supervisor request.",14/09/2015
,13-XV-019,,Check,"Check found ok. Note: the supply valve hand was broken, waiting for spare.",15/09/2015
,13-HV-013,,Check,Check stroke with DCS for all of them found ok.,15/09/2015
,13-HV-018,,Check,Check stroke with DCS for all of them found ok.Note: replace the air regulator of HV-018 by new one.,15/09/2015
,13-HV-014,,Check,Check stroke with DCS for all of them found ok.,15/09/2015
,13-HV-017,,Check,Check stroke with DCS for all of them found ok.,15/09/2015
,12-FT-011,,Wrong reading,complete calibration was done then check reading found ok.,15/09/2015
,12-FT-025,,Wrong reading,Flushing then complete calibration was done . Install old electronic module instead of installed one.,15/09/2015
,07-H-01,,Pilot alarm,"dismantle the pilot, clean the rod and continuity test was done found ok. Weld the cracked fuel /nozzle. Reasseble the pilot then ignite and adjust air/fuel ratio.",15/09/2015
,13-FT-091,,Repair hookup,"dismatle the flow nozzle, cut and weld the element name plate to correct the hook up. Assemble the nozzle then fabricate new impulse lines then zero calibration was done.",15/09/2015
,13-FV-028,,Check,"check found stuck, force several times to clear stuck. Full calibration for the positioner then check stroke found ok.",15/09/2015
,13-LV-018,,Check,"Check found ok. Note: the supply valve hand was broken, waiting for spare.",15/09/2015
,05-FV-023,,Check,"Check found defective I/P,replace it by old one then check stroke found ok(from 0% to 90% only)",15/09/2015
,04-PK-051,,Calibration,Assist vendor to calibrate the gamma ray level transmitter,15/09/2015
A2A,02-K-01A,,Power off,Force relay KM1 of the purge system to return the power to the local panel.,15/09/2015
,15-FT-006,,Check,Check found no blockage in the impulse tubes.function check was done found ok.,15/09/2015
,13-LV-042,,Passing,"Dismantle the valve and transfer it to EMC W/S.Install new seat,plug,seat gasket and body gasket.Passing test was done at 30 bar found ok,Re-install the valve again.",15/09/2015
,13-LV-050,,Passing,"Dismantle the valve and transfer it to EMC W/S.Install new plug,seat gasket and body gasket with old seat. Passing test was done found passing,Complete calibration was done.waiting to be installed.",15/09/2015
,13-LV-046,,Passing,"Dismantle the valve and transfer it to EMC W/S.Install new plug,seat gasket and body gasket with old seat.waiting to be tested and installed.",15/09/2015
,06-FV-003,,Passing,Install the valve back in service was done and check valve stroke were done found ok,15/09/2015
,14-FT-015,,Wrong reading,Check found no service inside the line.Equalizing the amine level inside the 2 impulse tubes then check readind found 0%,15/09/2015
,14-FT-002,,Wrong reading,Reset and zero calibration were done then check reading found ok.,15/09/2015
,15-FT-007,,Install,Install an old flow foxboro transmiiter instead of the defective old one.,15/09/2015
,13-FT-045,,Wrong reading,"Reset, Replace defective electronic module by another old one.
Zero calibration was carried out.
Check reading foundok""0%"".",15/09/2015
,13-PT-060,,I/O bad,"Check found no power.
Connect the TX power from CR by EPROM shift engineer then check reading found ok.",15/09/2015
,13-FT-040,,Wrong reading,"Reset was done and zero check found ok.
Check reading found ok.",15/09/2015
,13-LSL-052,,Alarm,"Check found the switch was isolated.
Put it in service then check found cleared alarm.",15/09/2015
,14-PSL-011A,,Alarm,The panel operator stopped the job as the problem was solved before work.,15/09/2015
,14-PSH-012,,Alarm,The panel operator stopped the job as the problem was solved before work.,15/09/2015
A2A,02-TE-005,,Install,Install the thermo wells with new gaskets.,15/09/2015
A2A,03-PV-010,,Install,Install the valve back in service with new gasket line.,15/09/2015
,06-FV-003,,Install,Repaire the positioner and valve stroke was done then install the valve back in service.,15/09/2015
,13-LV-046,,Install,"Collect the valve body with old seat and passing test was done found passing.
Install the new seat and passing test was done found ok(under 10 bar).
Valve stroke was done then install the valve back in service.",15/09/2015
,13-LV-050,,Install,"Adjust the stem length and passing test were done found ok (under 10 bar), valve stroke was done and install the valve back in service.",15/09/2015
,16-PT-004,,Check,"Flushing, Zero/span check were done found ok and no problem",15/09/2015
,51-MOV-260,,Comm. Fail,for mov-260 check found no power check at local panel found 2 circuit breakers in off position.,15/09/2015
